310;Owen Power;23;BUF;D;;;;;;;;;;;;;;;;;;;
311;Rasmus Sandin;25;WSH;D;;;;;;;;;;;;;;;;;;;
312;Yegor Sharangovich;27;CGY;C;;;;;;;;;;;;;;;;;;;
313;Pius Suter;29;STL;F;;;;;;;;;;;;;;;;;;;
314;Jonathan Toews;37;WPG;C;;;;;;;;;;;;;;;;;;;
315;Anthony Beauvillier;28;WSH;LW;;;;;;;;;;;;;;;;;;;
316;J.T. Compher;30;DET;LW;;;;;;;;;;;;;;;;;;;
317;Gustav Forsling;29;FLA;D;;;;;;;;;;;;;;;;;;;
318;Yanni Gourde;34;TBL;C;;;;;;;;;;;;;;;;;;;
319;Noah Hanifin;29;VEG;D;;;;;;;;;;;;;;;;;;;
320;David Perron;37;2TM;LW;;;;;;;;;;;;;;;;;;;
320;David Perron;37;OTT;LW;;;;;;;;;;;;;;;;;;;
320;David Perron;37;DET;LW;;;;;;;;;;;;;;;;;;;
321;MacKenzie Weegar;32;2TM;D;;;;;;;;;;;;;;;;;;;
321;MacKenzie Weegar;32;CGY;D;;;;;;;;;;;;;;;;;;;
321;MacKenzie Weegar;32;UTA;D;;;;;;;;;;;;;;;;;;;
322;Jack Drury;25;COL;C;;;;;;;;;;;;;;;;;;;
323;Anthony Duclair;30;NYI;LW;;;;;;;;;;;;;;;;;;;
324;Sean Durzi;27;UTA;D;;;;;;;;;;;;;;;;;;;
325;Martin FehÇrv†ry;26;WSH;D;;;;;;;;;;;;;;;;;;;
326;John Klingberg;33;SJS;D;;;;;;;;;;;;;;;;;;;
327;Noah Ostlund;21;BUF;C;;;;;;;;;;;;;;;;;;;
328;Gabriel Perreault;20;NYR;RW;;;;;;;;;;;;;;;;;;;
