Name;Pos;Age;Team
OASIZ WIESBLATT;C;22.2;Milwaukee Admirals
SAMUEL BOLDUC;D;25.6;Belleville Senators
VICTOR SODERSTROM;D;25.3;Providence Bruins
BEN JONES;C;27.3;Iowa Wild
BRAYDEN YAGER;C;21.5;Manitoba Moose
JACK STUDNICKA;F;27.4;Charlotte Checkers
JARED WRIGHT;F;23.6;Ontario Reign
NATE SMITH;C;27.7;Charlotte Checkers
OLLE LYCKSELL;R;26.8;Belleville Senators
WILLIAM VILLENEUVE;D;24.3;Toronto Marlies
WYATT BONGIOVANNI;C;26.9;Hershey Bears
ADAM SYKORA;F;21.8;Hartford Wolf Pack
ANTTI TUOMISTO;D;25.4;Grand Rapids Griffins
COLE MCWARD;D;25.1;Bridgeport Islanders
COREY SCHUENEMAN;D;30.8;Hershey Bears
DYSIN MAYO;D;29.9;Cleveland Monsters
FLORIAN XHEKAJ;C;22.0;Laval Rocket
ISAAK PHILLIPS;D;24.8;Manitoba Moose
JAKUB RYCHLOVSKY;L;24.9;Grand Rapids Griffins
JOAKIM KEMELL;F;22.2;Milwaukee Admirals
JOEY LARSON;F;25.3;Bridgeport Islanders
JUSTIN DOWLING;C;35.7;Hartford Wolf Pack
NATHAN GAUCHER;C;22.6;San Diego Gulls
OSKAR OLAUSSON;F;23.6;Iowa Wild
SAMMY WALKER;F;27.1;Tucson Roadrunners
STEPHEN HALLIDAY;C;24.0;Belleville Senators
TRAVIS BOYD;F;32.8;Toronto Marlies
YEGOR SIDOROV;R;22.0;San Diego Gulls
AATU JAMSEN;F;22.9;Ontario Reign
ALEX JEFFERIES;F;24.6;Bridgeport Islanders
BRENDAN FURRY;L;28.0;Syracuse Crunch
DANS LOCMELIS;C;22.4;Providence Bruins
JAMIE ENGELBERT;F;26.0;Rockford IceHogs
MICHAEL KAROW;D;27.5;Texas Stars
NIKITA PAVLYCHEV;C;29.3;Chicago Wolves
ONDREJ BECHER;C;22.4;Grand Rapids Griffins
OWEN PICKERING;D;22.4;Wilkes-Barre/Scranton Penguins
REID SCHAEFER;L;22.8;Milwaukee Admirals
RYAN SCHMELZER;C;32.9;Utica Comets
ZACH L'HEUREUX;L;23.1;Milwaukee Admirals
CLARK BISHOP;C;30.3;Calgary Wranglers
CURTIS MCKENZIE;F;35.4;Texas Stars
ETHAN BEAR;D;29.0;Bridgeport Islanders
ETHAN GAUTHIER;R;21.4;Syracuse Crunch
FILIP MESAR;R;22.5;Laval Rocket
IAN MITCHELL;D;27.4;Syracuse Crunch
LUCAS MERCURI;C;24.3;Syracuse Crunch
MARC DEL GAIZO;D;26.7;Laval Rocket
MITCHELL STEPHENS;F;29.4;Coachella Valley Firebirds
TIM WASHE;F;24.8;San Diego Gulls
TOPIAS VILEN;D;23.2;Utica Comets
TUCKER ROBERTSON;F;23.0;Lehigh Valley Phantoms
TYLER ANGLE;R;25.7;Grand Rapids Griffins
ZAYDE WISDOM;C;24.0;Lehigh Valley Phantoms
ALEX BUMP;F;22.6;Lehigh Valley Phantoms
BRAEDEN BOWMAN;F;23.0;Henderson Silver Knights
CAM LUND;F;22.1;San Jose Barracuda
CHASE WOUTERS;C;26.4;Abbotsford Canucks
EDUARD SALE;F;21.3;Coachella Valley Firebirds
GAVIN BAYREUTHER;D;32.1;Rochester Americans
GAVIN HAYES;F;22.1;Rockford IceHogs
IVAN IVAN;F;23.9;Colorado Eagles
JACKSON HALLUM;F;23.8;Henderson Silver Knights
JAGGER JOSHUA;L;27.3;Rochester Americans
JONAS R??NDBJERG;F;27.2;Henderson Silver Knights
JONATHAN GRUDEN;C;26.2;Utica Comets
JOONA KOPPANEN;C;28.3;Wilkes-Barre/Scranton Penguins
KEVIN KORCHINSKI;D;22.0;Rockford IceHogs
LUCAS CARLSSON;D;29.0;San Jose Barracuda
MARC JOHNSTONE;R;30.0;Toronto Marlies
MATTHEW BARBOLINI;F;26.1;Toronto Marlies
MATYAS MELOVSKY;F;22.1;Utica Comets
